Date,_Open,_High,_Low,_Close,_Volume,SMA D-4,SMA D-3,SMA D-2,SMA D-1,SMA D-0,RSI D-4,RSI D-3,RSI D-2,RSI D-1,RSI D-0,AO D-4,AO D-3,AO D-2,AO D-1,AO D-0,MACD D-4,MACD D-3,MACD D-2,MACD D-1,MACD D-0,ADX D-4,ADX D-3,ADX D-2,ADX D-1,ADX D-0,BB D-4,BB D-3,BB D-2,BB D-1,BB D-0,Ichimoku D-4,Ichimoku D-3,Ichimoku D-2,Ichimoku D-1,Ichimoku D-0,pSAR_ind D-4,pSAR_ind D-3,pSAR_ind D-2,pSAR_ind D-1,pSAR_ind D-0,Aleatory D-4,Aleatory D-3,Aleatory D-2,Aleatory D-1,Aleatory D-0,Trend
2000-05-22,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,3.611766501034026,7.2235330020679385,10.835299503102078,14.44706600413599,18.058832505170017,1.4351458716942553,2.201941589034182,2.561426194466291,2.640933300424761,2.53476881870756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08026753444099398,0.07705683306335419,0.07551569640208708,0.07400538247404535,0.07252527482456451,1.0,1.0,1.0,1.0,1,0
2000-05-23,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,7.2235330020679385,10.835299503102078,14.44706600413599,18.058832505170017,17.436114142922747,2.201941589034182,2.561426194466291,2.640933300424761,2.53476881870756,2.3120170495828445,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07705683306335419,0.07551569640208708,0.07400538247404535,0.07252527482456451,0.07107476932807327,1.0,1.0,1.0,1.0,1,0
2000-05-24,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,10.835299503102078,14.44706600413599,18.058832505170017,17.436114142922747,16.81339578067559,2.561426194466291,2.640933300424761,2.53476881870756,2.3120170495828445,2.0225980886706187,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07551569640208708,0.07400538247404535,0.07252527482456451,0.07107476932807327,0.06965327394151176,1.0,1.0,1.0,1.0,1,0
2000-05-25,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,14.44706600413599,18.058832505170017,17.436114142922747,16.81339578067559,16.190677418428322,2.640933300424761,2.53476881870756,2.3120170495828445,2.0225980886706187,1.7019553335036894,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07400538247404535,0.07252527482456451,0.07107476932807327,0.06965327394151176,0.06826020846268145,1.0,1.0,1.0,1.0,1,0
2000-05-26,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,18.058832505170017,17.436114142922747,16.81339578067559,16.190677418428322,15.567959056181053,2.53476881870756,2.3120170495828445,2.0225980886706187,1.7019553335036894,1.3746716315908536,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.586212158203125,0.07252527482456451,0.07107476932807327,0.06965327394151176,0.06826020846268145,0.06689500429342779,1.0,1.0,1.0,1.0,1,0
2000-05-29,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,17.436114142922747,16.81339578067559,16.190677418428322,15.567959056181053,14.945240693933783,2.3120170495828445,2.0225980886706187,1.7019553335036894,1.3746716315908536,1.057249110663414,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.586212158203125,10.586212158203125,0.07107476932807327,0.06965327394151176,0.06826020846268145,0.06689500429342779,0.0655571042075592,1.0,1.0,1.0,1.0,1,0
2000-05-30,635.1663818359375,635.1663818359375,635.1663818359375,635.1663818359375,360,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,23.683748773615378,16.81339578067559,16.190677418428322,15.567959056181053,14.945240693933783,2.6843107335707828,2.0225980886706187,1.7019553335036894,1.3746716315908536,1.057249110663414,-3.593658718559521,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.586212158203125,10.586212158203125,0.0,0.06965327394151176,0.06826020846268145,0.06689500429342779,0.0655571042075592,-0.10741122479788241,1.0,1.0,1.0,1.0,1,0
2000-05-31,703.390380859375,703.390380859375,703.390380859375,703.390380859375,360,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,23.683748773615378,56.71626937644171,16.190677418428322,15.567959056181053,14.945240693933783,2.6843107335707828,2.0615923713235134,1.7019553335036894,1.3746716315908536,1.057249110663414,-3.593658718559521,-2.000919768700928,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,10.586212158203125,10.586212158203125,0.0,0.0,0.06826020846268145,0.06689500429342779,0.0655571042075592,-0.10741122479788241,0.09699307934817657,1.0,1.0,1.0,1.0,1,0
2000-06-01,703.390380859375,703.390380859375,703.390380859375,703.390380859375,0,0.0,0.0,0.0,0.0,0,100.0,100.0,23.683748773615378,56.71626937644171,56.71626937644171,15.567959056181053,14.945240693933783,2.6843107335707828,2.0615923713235134,1.438874009076244,1.3746716315908536,1.057249110663414,-3.593658718559521,-2.000919768700928,-0.9276137179578909,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1,10.586212158203125,10.586212158203125,0.0,0.0,0.0,0.06689500429342779,0.0655571042075592,-0.10741122479788241,0.09699307934817657,0.09311335617424957,1.0,1.0,1.0,1.0,1,0
2000-06-02,701.0330810546875,701.0330810546875,701.0330810546875,701.0330810546875,360,0.0,0.0,0.0,0.0,0,100.0,23.683748773615378,56.71626937644171,56.71626937644171,55.880545196150436,14.945240693933783,2.6843107335707828,2.0615923713235134,1.438874009076244,0.4140280330882433,1.057249110663414,-3.593658718559521,-2.000919768700928,-0.9276137179578909,-0.38446576917993536,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1,10.586212158203125,0.0,0.0,0.0,0.0,0.0655571042075592,-0.10741122479788241,0.09699307934817657,0.09311335617424957,0.08819532222865151,1.0,1.0,1.0,1.0,1,0
