Date,_Open,_High,_Low,_Close,_Volume,SMA D-4,SMA D-3,SMA D-2,SMA D-1,SMA D-0,RSI D-4,RSI D-3,RSI D-2,RSI D-1,RSI D-0,AO D-4,AO D-3,AO D-2,AO D-1,AO D-0,MACD D-4,MACD D-3,MACD D-2,MACD D-1,MACD D-0,ADX D-4,ADX D-3,ADX D-2,ADX D-1,ADX D-0,BB D-4,BB D-3,BB D-2,BB D-1,BB D-0,Ichimoku D-4,Ichimoku D-3,Ichimoku D-2,Ichimoku D-1,Ichimoku D-0,pSAR_ind D-4,pSAR_ind D-3,pSAR_ind D-2,pSAR_ind D-1,pSAR_ind D-0,Aleatory D-4,Aleatory D-3,Aleatory D-2,Aleatory D-1,Aleatory D-0,Trend
2000-02-23,1306.99072265625,1306.99072265625,1306.9284850027902,1306.99072265625,112000,0.0,0.0,0.0,0.0,0,65.7303134314379,68.82354515692248,66.67087668334887,64.64634094419748,61.62520424156664,-61.71233736176555,-16.413141457316215,20.505520317641867,53.4159040203117,74.57140325908017,23.72444484103123,29.447962227126787,32.5891752378541,29.51576022958236,24.205912888799848,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.944702053493984,31.087675345034768,0.10517545580339954,0.16856235000785538,0.21960903186162128,0.1813167815938594,0.15618472693236607,0.0,0.0,0.0,0.0,0,0
2000-02-24,1307.0527820028155,1322.5499556002014,1244.7528993884248,1303.878662109375,44000,0.0,0.0,0.0,0.0,0,68.82354515692248,66.67087668334887,64.64634094419748,61.62520424156664,61.27614963630663,-16.413141457316215,20.505520317641867,53.4159040203117,74.57140325908017,69.3086620123945,29.447962227126787,32.5891752378541,29.51576022958236,24.205912888799848,19.516728219262497,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,27.944702053493984,31.087675345034768,37.280314299306156,0.16856235000785538,0.21960903186162128,0.1813167815938594,0.15618472693236607,0.10335366633174857,0.0,0.0,0.0,0.0,0,0
2000-02-25,1319.438232421875,1319.438232421875,1306.990701927329,1319.438232421875,8000,0.0,0.0,0.0,0.0,0,66.67087668334887,64.64634094419748,61.62520424156664,61.27614963630663,61.04651176050278,20.505520317641867,53.4159040203117,74.57140325908017,69.3086620123945,61.69367295013194,32.5891752378541,29.51576022958236,24.205912888799848,19.516728219262497,16.60947498638587,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,27.944702053493984,31.087675345034768,37.280314299306156,37.280314299306156,0.21960903186162128,0.1813167815938594,0.15618472693236607,0.10335366633174857,0.14396020214710148,0.0,0.0,0.0,0.0,0,0
2000-02-28,1244.7531202362804,1275.8719482421875,1244.7531202362804,1275.8719482421875,24000,0.0,0.0,0.0,0.0,0,64.64634094419748,61.62520424156664,61.27614963630663,61.04651176050278,58.365786414101024,53.4159040203117,74.57140325908017,69.3086620123945,61.69367295013194,40.42302691752229,29.51576022958236,24.205912888799848,19.516728219262497,16.60947498638587,11.160374616575343,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,27.944702053493984,31.087675345034768,37.280314299306156,37.280314299306156,49.72794078233528,0.1813167815938594,0.15618472693236607,0.10335366633174857,0.14396020214710148,0.09467893861689067,0.0,0.0,0.0,0.0,0,0
2000-02-29,1338.1095306396485,1338.1095306396485,1244.7530517578125,1244.7530517578125,35200,0.0,0.0,0.0,0.0,0,61.62520424156664,61.27614963630663,61.04651176050278,58.365786414101024,61.764718777091254,74.57140325908017,69.3086620123945,61.69367295013194,40.42302691752229,34.72976792160853,24.205912888799848,19.516728219262497,16.60947498638587,11.160374616575343,5.172671002778557,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,31.087675345034768,37.280314299306156,37.280314299306156,49.72794078233528,74.62294880256877,0.15618472693236607,0.10335366633174857,0.14396020214710148,0.09467893861689067,0.0916049479490939,0.0,0.0,0.0,0.0,0,0
2000-03-01,1252.2215700683594,1269.6481127929687,1244.7530517578125,1244.7530517578125,39200,0.0,0.0,0.0,0.0,0,61.27614963630663,61.04651176050278,58.365786414101024,61.764718777091254,61.764718777091254,69.3086620123945,61.69367295013194,40.42302691752229,34.72976792160853,28.622049764139092,19.516728219262497,16.60947498638587,11.160374616575343,5.172671002778557,1.135412338453909,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,37.280314299306156,37.280314299306156,49.72794078233528,74.62294880256877,74.62310292502207,0.10335366633174857,0.14396020214710148,0.09467893861689067,0.0916049479490939,0.08627285177988553,0.0,0.0,0.0,0.0,0,0
2000-03-02,1250.976840909254,1250.976840909254,1219.7957763671875,1219.7957763671875,12000,0.0,0.0,0.0,0.0,0,61.04651176050278,58.365786414101024,61.764718777091254,61.764718777091254,56.01736938992357,61.69367295013194,40.42302691752229,34.72976792160853,28.622049764139092,20.891983258856044,16.60947498638587,11.160374616575343,5.172671002778557,1.135412338453909,-3.0630082925754962,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,37.280314299306156,49.72794078233528,74.62294880256877,74.62310292502207,43.47323277666419,0.14396020214710148,0.09467893861689067,0.0916049479490939,0.08627285177988553,0.062245436078695426,0.0,0.0,0.0,0.0,0,0
2000-03-03,1201.186694946289,1244.7530517578125,1201.186694946289,1244.7530517578125,8000,0.0,0.0,0.0,0.0,0,58.365786414101024,61.764718777091254,61.764718777091254,56.01736938992357,56.01734860551227,40.42302691752229,34.72976792160853,28.622049764139092,20.891983258856044,4.399007873467781,11.160374616575343,5.172671002778557,1.135412338453909,-3.0630082925754962,-3.94994273822054,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,49.72794078233528,74.62294880256877,74.62310292502207,43.47323277666419,6.254995777152544,0.09467893861689067,0.0916049479490939,0.08627285177988553,0.062245436078695426,0.040926452373153496,0.0,0.0,0.0,0.0,0,0
2000-03-06,1244.7530517578125,1244.7530517578125,1244.7530517578125,1244.7530517578125,0,0.0,0.0,0.0,0.0,0,61.764718777091254,61.764718777091254,56.01736938992357,56.01734860551227,55.62175530880115,34.72976792160853,28.622049764139092,20.891983258856044,4.399007873467781,3.575260914341925,5.172671002778557,1.135412338453909,-3.0630082925754962,-3.94994273822054,-4.298519519976512,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,74.62294880256877,74.62310292502207,43.47323277666419,6.254995777152544,6.161689807914172,0.0916049479490939,0.08627285177988553,0.062245436078695426,0.040926452373153496,0.07090792611546405,0.0,0.0,0.0,0.0,0,0
2000-03-07,1244.7530517578125,1244.7530517578125,1244.7530517578125,1244.7530517578125,0,0.0,0.0,0.0,0.0,0,61.764718777091254,56.01736938992357,56.01734860551227,55.62175530880115,47.10229355582142,28.622049764139092,20.891983258856044,4.399007873467781,3.575260914341925,-5.116957842764577,1.135412338453909,-3.0630082925754962,-3.94994273822054,-4.298519519976512,-4.28159398134542,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,74.62310292502207,43.47323277666419,6.254995777152544,6.161689807914172,6.161689807914172,0.08627285177988553,0.062245436078695426,0.040926452373153496,0.07090792611546405,0.06598977038292833,0.0,0.0,0.0,0.0,0,0
