Date,_Open,_High,_Low,_Close,_Volume,SMA D-4,SMA D-3,SMA D-2,SMA D-1,SMA D-0,RSI D-4,RSI D-3,RSI D-2,RSI D-1,RSI D-0,AO D-4,AO D-3,AO D-2,AO D-1,AO D-0,MACD D-4,MACD D-3,MACD D-2,MACD D-1,MACD D-0,ADX D-4,ADX D-3,ADX D-2,ADX D-1,ADX D-0,BB D-4,BB D-3,BB D-2,BB D-1,BB D-0,Ichimoku D-4,Ichimoku D-3,Ichimoku D-2,Ichimoku D-1,Ichimoku D-0,pSAR_ind D-4,pSAR_ind D-3,pSAR_ind D-2,pSAR_ind D-1,pSAR_ind D-0,Aleatory D-4,Aleatory D-3,Aleatory D-2,Aleatory D-1,Aleatory D-0,Trend
2000-03-07,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.002629415208802499,-0.005258830417605026,-0.007888245626407497,-0.01051766083521001,-0.013147076044012523,-0.0014873537191139412,-0.002018496997137572,-0.002254284382211999,-0.0022874500811327293,-0.002186664270427058,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.6030573792049062,-0.57893508403671,-0.5673563823559757,-0.5560092547088563,-0.5448890696146792,0.0,0.0,0.0,0.0,0,0
2000-03-08,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.005258830417605026,-0.007888245626407497,-0.01051766083521001,-0.013147076044012523,-0.012693728594218995,-0.002018496997137572,-0.002254284382211999,-0.0022874500811327293,-0.002186664270427058,-0.002002219757108379,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.57893508403671,-0.5673563823559757,-0.5560092547088563,-0.5448890696146792,-0.5339912882223855,0.0,0.0,0.0,0.0,0,0
2000-03-09,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.007888245626407497,-0.01051766083521001,-0.013147076044012523,-0.012693728594218995,-0.012240381144425438,-0.002254284382211999,-0.0022874500811327293,-0.002186664270427058,-0.002002219757108379,-0.0017704450120646501,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5673563823559757,-0.5560092547088563,-0.5448890696146792,-0.5339912882223855,-0.5233114624579378,0.0,0.0,0.0,0.0,0,0
2000-03-10,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.01051766083521001,-0.013147076044012523,-0.012693728594218995,-0.012240381144425438,-0.01178703369463191,-0.0022874500811327293,-0.002186664270427058,-0.002002219757108379,-0.0017704450120646501,-0.0015171194075327297,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5560092547088563,-0.5448890696146792,-0.5339912882223855,-0.5233114624579378,-0.512845233208779,0.0,0.0,0.0,0.0,0,0
2000-03-13,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.013147076044012523,-0.012693728594218995,-0.012240381144425438,-0.01178703369463191,-0.011333686244838381,-0.002186664270427058,-0.002002219757108379,-0.0017704450120646501,-0.0015171194075327297,-0.0012601080665619732,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.007706906646490097,-0.5448890696146792,-0.5339912882223855,-0.5233114624579378,-0.512845233208779,-0.5025883285446034,0.0,0.0,0.0,0.0,0,0
2000-03-14,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.012693728594218995,-0.012240381144425438,-0.01178703369463191,-0.011333686244838381,-0.010880338795044853,-0.002002219757108379,-0.0017704450120646501,-0.0015171194075327297,-0.0012601080665619732,-0.0010113874954033588,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.007706906646490097,-0.007706906646490097,-0.5339912882223855,-0.5233114624579378,-0.512845233208779,-0.5025883285446034,-0.49253656197371143,0.0,0.0,0.0,0.0,0,0
2000-03-15,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.012240381144425438,-0.01178703369463191,-0.011333686244838381,-0.010880338795044853,-0.010426991345251296,-0.0017704450120646501,-0.0015171194075327297,-0.0012601080665619732,-0.0010113874954033588,-0.0007785966047908037,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.5233114624579378,-0.512845233208779,-0.5025883285446034,-0.49253656197371143,-0.4826858307342373,0.0,0.0,0.0,0.0,0,0
2000-03-16,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.01178703369463191,-0.011333686244838381,-0.010880338795044853,-0.010426991345251296,-0.009973643895457768,-0.0015171194075327297,-0.0012601080665619732,-0.0010113874954033588,-0.0007785966047908037,-0.0005662188333337287,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.512845233208779,-0.5025883285446034,-0.49253656197371143,-0.4826858307342373,-0.47303211411955265,0.0,0.0,0.0,0.0,0,0
2000-03-17,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.011333686244838381,-0.010880338795044853,-0.010426991345251296,-0.009973643895457768,-0.00952029644566424,-0.0012601080665619732,-0.0010113874954033588,-0.0007785966047908037,-0.0005662188333337287,-0.0003764782759574257,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.5025883285446034,-0.49253656197371143,-0.4826858307342373,-0.47303211411955265,-0.4635714718371615,0.0,0.0,0.0,0.0,0,0
2000-03-20,0.11945515125989914,0.11945515125989914,0.11945515125989914,0.11945515125989914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.010880338795044853,-0.010426991345251296,-0.009973643895457768,-0.00952029644566424,-0.00906694899587071,-0.0010113874954033588,-0.0007785966047908037,-0.0005662188333337287,-0.0003764782759574257,-0.00021001472921567017,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.007706906646490097,-0.49253656197371143,-0.4826858307342373,-0.47303211411955265,-0.4635714718371615,-0.4543000424004183,0.0,0.0,0.0,0.0,0,0
2000-04-18,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,23060,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.020825412821470796,0.043628562675906424,0.06643171253034205,0.08923486238477771,0.11158466478941981,0.00877344328084003,0.013540355540772547,0.015783222144381662,0.016290517900090333,0.015646268804621756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5153855442673467,0.5021552278443961,0.4921121232875082,0.48226988082175803,0.4726244832053229,0.0,0.0,0.0,0.0,0,0
2000-04-19,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.043628562675906424,0.06643171253034205,0.08923486238477771,0.11158466478941981,0.10792393354547752,0.013540355540772547,0.015783222144381662,0.016290517900090333,0.015646268804621756,0.014278365296201419,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5021552278443961,0.4921121232875082,0.48226988082175803,0.4726244832053229,0.46317199354121646,0.0,0.0,0.0,0.0,0,0
2000-04-20,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.06643171253034205,0.08923486238477771,0.11158466478941981,0.10792393354547752,0.10407051933778061,0.015783222144381662,0.016290517900090333,0.015646268804621756,0.014278365296201419,0.012496053700796966,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4921121232875082,0.48226988082175803,0.4726244832053229,0.46317199354121646,0.4539085536703921,0.0,0.0,0.0,0.0,0,0
2000-04-21,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.08923486238477771,0.11158466478941981,0.10792393354547752,0.10407051933778061,0.1002171051300837,0.016290517900090333,0.015646268804621756,0.014278365296201419,0.012496053700796966,0.010518949829775175,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.48226988082175803,0.4726244832053229,0.46317199354121646,0.4539085536703921,0.4448303825969842,0.0,0.0,0.0,0.0,0,0
2000-04-24,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.11158466478941981,0.10792393354547752,0.10407051933778061,0.1002171051300837,0.09636369092238678,0.015646268804621756,0.014278365296201419,0.012496053700796966,0.010518949829775175,0.00849942217165128,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0645446267120745,0.4726244832053229,0.46317199354121646,0.4539085536703921,0.4448303825969842,0.43593377494504454,0.0,0.0,0.0,0.0,0,0
2000-04-25,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.10792393354547752,0.10407051933778061,0.1002171051300837,0.09636369092238678,0.09251027671468987,0.014278365296201419,0.012496053700796966,0.010518949829775175,0.00849942217165128,0.0065397991802216456,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0645446267120745,0.06550804153084755,0.46317199354121646,0.4539085536703921,0.4448303825969842,0.43593377494504454,0.42721509944614366,0.0,0.0,0.0,0.0,0,0
2000-04-26,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.10407051933778061,0.1002171051300837,0.09636369092238678,0.09251027671468987,0.08865686250699295,0.012496053700796966,0.010518949829775175,0.00849942217165128,0.0065397991802216456,0.0047055444234668994,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0645446267120745,0.06550804153084755,0.06550804153084755,0.4539085536703921,0.4448303825969842,0.43593377494504454,0.42721509944614366,0.4186707974572208,0.0,0.0,0.0,0.0,0,0
2000-04-27,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.1002171051300837,0.09636369092238678,0.09251027671468987,0.08865686250699295,0.08480344829929604,0.010518949829775175,0.00849942217165128,0.0065397991802216456,0.0047055444234668994,0.0030352978251565153,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0645446267120745,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.4448303825969842,0.43593377494504454,0.42721509944614366,0.4186707974572208,0.4102973815080763,0.0,0.0,0.0,0.0,0,0
2000-04-28,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.09636369092238678,0.09251027671468987,0.08865686250699295,0.08480344829929604,0.08095003409159912,0.00849942217165128,0.0065397991802216456,0.0047055444234668994,0.0030352978251565153,0.001548487392106928,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0645446267120745,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.43593377494504454,0.42721509944614366,0.4186707974572208,0.4102973815080763,0.40209143387791485,0.0,0.0,0.0,0.0,0,0
2000-05-01,0.25047123432159424,0.25047123432159424,0.25047123432159424,0.25047123432159424,0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.09251027671468987,0.08865686250699295,0.08480344829929604,0.08095003409159912,0.0770966198839022,0.0065397991802216456,0.0047055444234668994,0.0030352978251565153,0.001548487392106928,0.00025106293743860225,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.06550804153084755,0.42721509944614366,0.4186707974572208,0.4102973815080763,0.40209143387791485,0.3940496052003566,0.0,0.0,0.0,0.0,0,0
